total_vehicles,density,avg_bbox_area,car,truck,filename
9,0.0851,13504.0,9,0,11.png
24,0.5442,4684.86,24,0,22.png
19,1.0277,81594.65,19,0,33.png
7,1.8377,107529.63,6,1,img1.jpg
2,0.3409,69812.57,0,2,img10.jpg
0,0.0,0,0,0,img11.jpg
0,0.0,0,0,0,img12.jpg
0,0.0,0,0,0,img13.jpg
1,0.0965,39510.81,1,0,img14.jpg
1,0.3064,125495.99,0,1,img15.jpg
1,0.5495,225075.39,0,1,img16.jpg
0,0.0,0,0,0,img17.jpg
0,0.0,0,0,0,img18.jpg
0,0.0,0,0,0,img19.jpg
2,0.1606,32896.58,1,1,img2.jpeg
2,0.5255,107631.62,0,2,img20.jpg
4,0.4597,47070.39,1,3,img21.jpg
6,0.4511,30798.19,4,2,img22.jpg
4,0.2564,26253.88,2,2,img23.jpg
0,0.0,0,0,0,img24.png
2,0.1747,35787.11,0,2,img3.jpg
3,0.258,35225.77,2,1,img4.jpg
0,0.0,0,0,0,img5.jpg
0,0.0,0,0,0,img6.jpg
0,0.0,0,0,0,img7.jpg
1,0.0148,6060.7,1,0,img8.jpg
1,0.5959,244072.39,0,1,img9.jpg
